date_heure,libelle,montant_eur,type,categorie
2023-07-03 10:00:00,CB - Léa Fournier,150.0,Recette,Paiement client
2023-07-03 10:50:00,CB - Clara Bernard,110.0,Recette,Paiement client
2023-07-03 11:25:00,CB - Léa Morel,25.0,Recette,Paiement client
2023-07-04 09:35:00,CB - Clara Lefèvre,100.0,Recette,Paiement client
2023-07-05 09:00:00,Assurance professionnelle,-45.0,Charge,Assurance
2023-07-05 09:30:00,CB - Julie Garcia,90.0,Recette,Paiement client
2023-07-05 10:40:00,CB - Eva Fournier,130.0,Recette,Paiement client
2023-07-06 09:41:00,CB - Chloé Fournier,25.0,Recette,Paiement client
2023-07-06 10:31:00,CB - Emma Bernard,100.0,Recette,Paiement client
2023-07-10 09:00:00,Achats consommables,-24.04,Charge,Consommables
2023-07-10 09:00:00,Électricité,-120.0,Charge,Énergie
2023-07-10 10:00:00,CB - Jade Girard,150.0,Recette,Paiement client
2023-07-10 10:36:00,CB - Charlotte David,25.0,Recette,Paiement client
2023-07-10 11:28:00,CB - Amina Roux,100.0,Recette,Paiement client
2023-07-12 09:00:00,Hébergement site web,-12.0,Charge,Site web
2023-07-12 10:00:00,CB - Clara Petit,150.0,Recette,Paiement client
2023-07-12 10:45:00,CB - Léa Lambert,90.0,Recette,Paiement client
2023-07-12 11:15:00,CB - Emma Bertrand,25.0,Recette,Paiement client
2023-07-13 09:55:00,CB - Eva Durand,140.0,Recette,Paiement client
2023-07-14 09:55:00,CB - Sarah Vincent,140.0,Recette,Paiement client
2023-07-17 09:00:00,Achats consommables,-16.51,Charge,Consommables
2023-07-17 09:40:00,CB - Elise Vincent,110.0,Recette,Paiement client
2023-07-18 09:55:00,CB - Lucie Girard,140.0,Recette,Paiement client
2023-07-19 10:00:00,CB - Chloé Garcia,150.0,Recette,Paiement client
2023-07-20 09:59:00,CB - Nina Mercier,25.0,Recette,Paiement client
2023-07-21 09:30:00,CB - Jade Thomas,90.0,Recette,Paiement client
2023-07-24 09:00:00,Achats consommables,-21.07,Charge,Consommables
2023-07-24 09:55:00,CB - Léa Vincent,140.0,Recette,Paiement client
2023-07-24 10:45:00,CB - Nina Thomas,110.0,Recette,Paiement client
2023-07-25 09:15:00,CB - Anaïs Petit,25.0,Recette,Paiement client
2023-07-27 09:45:00,CB - Léa Fournier,120.0,Recette,Paiement client
2023-07-27 11:14:00,CB - Clara Lefèvre,90.0,Recette,Paiement client
2023-07-28 09:15:00,CB - Océane Vincent,25.0,Recette,Paiement client
2023-07-28 10:24:00,CB - Clara Fournier,130.0,Recette,Paiement client
2023-07-31 09:00:00,Achats consommables,-17.89,Charge,Consommables
2023-07-31 09:40:00,CB - Eva Fournier,110.0,Recette,Paiement client
2023-08-01 09:00:00,Abonnement Planity,-80.0,Charge,Logiciel / abonnement
2023-08-01 09:00:00,Frais compte pro,-15.0,Charge,Frais bancaires
2023-08-01 09:00:00,Loyer cabinet,-1200.0,Charge,Loyer
2023-08-02 09:15:00,CB - Clara Legrand,25.0,Recette,Paiement client
2023-08-02 10:16:00,CB - Zoé Vincent,130.0,Recette,Paiement client
2023-08-02 10:49:00,CB - Julie Garcia,65.0,Recette,Paiement client
2023-08-03 09:35:00,CB - Emma Bernard,100.0,Recette,Paiement client
2023-08-03 10:35:00,CB - Jade Girard,130.0,Recette,Paiement client
2023-08-03 11:35:00,CB - Manon Fournier,120.0,Recette,Paiement client
2023-08-04 09:40:00,CB - Elise André,110.0,Recette,Paiement client
2023-08-05 09:00:00,Assurance professionnelle,-45.0,Charge,Assurance
2023-08-07 09:00:00,Achats consommables,-26.67,Charge,Consommables
2023-08-07 10:47:00,CB - Sarah Vincent,120.0,Recette,Paiement client
2023-08-07 11:43:00,CB - Léa Morel,120.0,Recette,Paiement client
2023-08-07 12:11:00,CB - Zoé Dubois,25.0,Recette,Paiement client
2023-08-09 09:15:00,CB - Maëlys Mercier,25.0,Recette,Paiement client
2023-08-09 10:12:00,CB - Amina Roux,120.0,Recette,Paiement client
2023-08-09 11:55:00,CB - Léa Dubois,90.0,Recette,Paiement client
2023-08-10 09:00:00,Électricité,-120.0,Charge,Énergie
2023-08-10 10:42:00,CB - Alice Michel,25.0,Recette,Paiement client
2023-08-10 11:39:00,CB - Chloé Fournier,110.0,Recette,Paiement client
2023-08-11 09:15:00,CB - Jade Thomas,25.0,Recette,Paiement client
2023-08-12 09:00:00,Hébergement site web,-12.0,Charge,Site web
2023-08-14 09:00:00,Achats consommables,-18.35,Charge,Consommables
2023-08-14 10:00:00,CB - Hana Robert,150.0,Recette,Paiement client
2023-08-14 10:58:00,CB - Charlotte David,120.0,Recette,Paiement client
2023-08-15 09:45:00,CB - Elise Vincent,120.0,Recette,Paiement client
2023-08-16 09:15:00,CB - Margaux Richard,25.0,Recette,Paiement client
2023-08-16 10:35:00,CB - Chloé Garcia,150.0,Recette,Paiement client
2023-08-16 12:20:00,CB - Emma Bertrand,220.0,Recette,Paiement client
2023-08-21 09:00:00,Achats consommables,-27.9,Charge,Consommables
2023-08-21 10:31:00,CB - Léa Vincent,120.0,Recette,Paiement client
2023-08-21 11:29:00,CB - Clara Fournier,110.0,Recette,Paiement client
2023-08-21 13:45:00,CB - Manon Michel,90.0,Recette,Paiement client
2023-08-21 14:32:00,CB - Clara Lefèvre,75.0,Recette,Paiement client
2023-08-21 15:30:00,CB - Inès Petit,120.0,Recette,Paiement client
2023-08-22 09:30:00,CB - Léa Thomas,90.0,Recette,Paiement client
2023-08-23 09:35:00,CB - Nina Thomas,100.0,Recette,Paiement client
2023-08-24 10:55:00,CB - Nina Mercier,150.0,Recette,Paiement client
2023-08-24 11:42:00,CB - Zoé Garcia,90.0,Recette,Paiement client
2023-08-25 09:50:00,CB - Zoé Vincent,130.0,Recette,Paiement client
2023-08-28 09:00:00,Achats consommables,-41.6,Charge,Consommables
2023-08-28 10:14:00,CB - Elise André,100.0,Recette,Paiement client
2023-08-28 11:02:00,CB - Charlotte Robert,100.0,Recette,Paiement client
2023-08-29 10:00:00,CB - Anaïs Petit,150.0,Recette,Paiement client
2023-08-30 09:45:00,CB - Jade Girard,120.0,Recette,Paiement client
2023-08-30 11:42:00,CB - Léa Morel,110.0,Recette,Paiement client
2023-08-31 10:31:00,CB - Clara Bernard,100.0,Recette,Paiement client
2023-09-01 09:00:00,Loyer cabinet,-1200.0,Charge,Loyer
2023-09-01 09:00:00,Frais compte pro,-15.0,Charge,Frais bancaires
2023-09-01 09:00:00,Abonnement Planity,-80.0,Charge,Logiciel / abonnement
2023-09-01 09:25:00,CB - Julie Garcia,75.0,Recette,Paiement client
2023-09-01 11:45:00,CB - Océane Vincent,280.0,Recette,Paiement client
2023-09-01 12:10:00,CB - Maya Simon,25.0,Recette,Paiement client
2023-09-02 11:52:00,CB - Julie Leroy,180.0,Recette,Paiement client
2023-09-02 12:34:00,CB - Chloé Fournier,90.0,Recette,Paiement client
2023-09-04 09:00:00,Achats consommables,-20.5,Charge,Consommables
2023-09-04 09:45:00,CB - Clara Petit,120.0,Recette,Paiement client
2023-09-04 10:15:00,CB - Marine Bertrand,25.0,Recette,Paiement client
2023-09-05 09:00:00,Assurance professionnelle,-45.0,Charge,Assurance
2023-09-06 09:30:00,CB - Léa Dubois,90.0,Recette,Paiement client
2023-09-06 10:24:00,CB - Charlotte David,110.0,Recette,Paiement client
2023-09-06 11:37:00,CB - Clara Legrand,150.0,Recette,Paiement client
2023-09-07 10:00:00,CB - Hana Robert,150.0,Recette,Paiement client
2023-09-08 09:35:00,CB - Léa Lambert,100.0,Recette,Paiement client
2023-09-08 11:06:00,CB - Emma Bertrand,180.0,Recette,Paiement client
2023-09-10 09:00:00,Électricité,-120.0,Charge,Énergie
2023-09-11 09:00:00,Achats consommables,-19.7,Charge,Consommables
2023-09-11 10:32:00,CB - Zoé Dubois,150.0,Recette,Paiement client
2023-09-12 09:00:00,Hébergement site web,-12.0,Charge,Site web
2023-09-12 09:15:00,CB - Clara Laurent,25.0,Recette,Paiement client
2023-09-13 10:00:00,CB - Maëlys Mercier,150.0,Recette,Paiement client
2023-09-14 09:40:00,CB - Clara Fournier,110.0,Recette,Paiement client
2023-09-14 11:52:00,CB - Alice Michel,280.0,Recette,Paiement client
2023-09-15 09:00:00,Entretien machine électrolyse,-250.0,Charge,Maintenance
2023-09-15 09:35:00,CB - Inès Petit,100.0,Recette,Paiement client
2023-09-15 11:37:00,CB - Chloé Garcia,110.0,Recette,Paiement client
2023-09-16 10:55:00,CB - Nina Mercier,140.0,Recette,Paiement client
2023-09-16 11:48:00,CB - Elise Vincent,100.0,Recette,Paiement client
2023-09-18 09:00:00,Achats consommables,-34.83,Charge,Consommables
2023-09-18 09:30:00,CB - Clara Lefèvre,90.0,Recette,Paiement client
2023-09-18 10:10:00,CB - Lucie Girard,90.0,Recette,Paiement client
2023-09-18 10:53:00,CB - Zoé Garcia,90.0,Recette,Paiement client
2023-09-18 11:54:00,CB - Léa Vincent,130.0,Recette,Paiement client
2023-09-18 12:23:00,CB - Zoé Morel,25.0,Recette,Paiement client
2023-09-20 09:15:00,CB - Chloé Petit,25.0,Recette,Paiement client
2023-09-20 10:05:00,CB - Manon Fournier,100.0,Recette,Paiement client
2023-09-20 10:53:00,CB - Margaux Richard,90.0,Recette,Paiement client
2023-09-21 09:15:00,CB - Agathe David,25.0,Recette,Paiement client
2023-09-21 10:03:00,CB - Jade Thomas,90.0,Recette,Paiement client
2023-09-21 10:54:00,CB - Elise André,100.0,Recette,Paiement client
2023-09-23 10:45:00,CB - Léa Fournier,120.0,Recette,Paiement client
2023-09-25 09:00:00,Achats consommables,-30.3,Charge,Consommables
2023-09-25 09:40:00,CB - Léa Morel,110.0,Recette,Paiement client
2023-09-25 11:54:00,CB - Océane Vincent,280.0,Recette,Paiement client
2023-09-25 13:50:00,CB - Nina Thomas,100.0,Recette,Paiement client
2023-09-25 14:21:00,CB - Manon Michel,65.0,Recette,Paiement client
2023-09-26 09:35:00,CB - Léa Thomas,100.0,Recette,Paiement client
2023-09-26 10:23:00,CB - Eva Fournier,90.0,Recette,Paiement client
2023-09-27 10:15:00,CB - Julie Leroy,180.0,Recette,Paiement client
2023-09-27 11:12:00,CB - Chloé Fournier,120.0,Recette,Paiement client
2023-09-27 12:09:00,CB - Eva Durand,120.0,Recette,Paiement client
2023-09-28 10:41:00,CB - Sarah Vincent,120.0,Recette,Paiement client
2023-09-29 10:00:00,CB - Clara Legrand,150.0,Recette,Paiement client
2023-10-01 09:00:00,Loyer cabinet,-1200.0,Charge,Loyer
2023-10-01 09:00:00,Abonnement Planity,-80.0,Charge,Logiciel / abonnement
2023-10-01 09:00:00,Frais compte pro,-15.0,Charge,Frais bancaires
2023-10-02 09:00:00,Achats consommables,-43.26,Charge,Consommables
2023-10-02 09:30:00,CB - Charlotte David,90.0,Recette,Paiement client
2023-10-02 10:25:00,CB - Charlotte Robert,110.0,Recette,Paiement client
2023-10-03 09:50:00,CB - Clara Petit,130.0,Recette,Paiement client
2023-10-03 11:16:00,CB - Emma Bertrand,180.0,Recette,Paiement client
2023-10-03 12:00:00,CB - Clara Bernard,90.0,Recette,Paiement client
2023-10-03 13:35:00,CB - Julie Garcia,65.0,Recette,Paiement client
2023-10-04 10:00:00,CB - Zoé Dubois,150.0,Recette,Paiement client
2023-10-04 10:59:00,CB - Hana Robert,120.0,Recette,Paiement client
2023-10-04 11:37:00,CB - Emma Bernard,75.0,Recette,Paiement client
2023-10-05 09:00:00,Assurance professionnelle,-45.0,Charge,Assurance
2023-10-06 09:55:00,CB - Maya Simon,140.0,Recette,Paiement client
2023-10-06 11:02:00,CB - Maëlys Mercier,140.0,Recette,Paiement client
2023-10-06 11:56:00,CB - Léa Dubois,90.0,Recette,Paiement client
2023-10-07 10:15:00,CB - Inès Mercier,25.0,Recette,Paiement client
2023-10-07 11:57:00,CB - Alice Michel,220.0,Recette,Paiement client
2023-10-07 12:28:00,CB - Océane Thomas,25.0,Recette,Paiement client
2023-10-09 09:00:00,Achats consommables,-31.12,Charge,Consommables
2023-10-09 09:50:00,CB - Jade Thomas,130.0,Recette,Paiement client
2023-10-09 10:48:00,CB - Marine Bertrand,110.0,Recette,Paiement client
2023-10-10 09:00:00,Électricité,-120.0,Charge,Énergie
2023-10-11 09:15:00,CB - Marine Garcia,25.0,Recette,Paiement client
2023-10-11 10:24:00,CB - Nina Mercier,140.0,Recette,Paiement client
2023-10-12 09:00:00,Hébergement site web,-12.0,Charge,Site web
2023-10-12 09:15:00,CB - Nina Bernard,25.0,Recette,Paiement client
2023-10-12 10:10:00,CB - Clara Fournier,110.0,Recette,Paiement client
2023-10-13 09:35:00,CB - Inès Petit,100.0,Recette,Paiement client
2023-10-13 10:08:00,CB - Margaux Richard,65.0,Recette,Paiement client
2023-10-16 09:00:00,Achats consommables,-40.54,Charge,Consommables
2023-10-16 09:20:00,CB - Amina Roux,65.0,Recette,Paiement client
2023-10-16 10:25:00,CB - Anaïs Petit,130.0,Recette,Paiement client
2023-10-16 11:06:00,CB - Zoé Garcia,75.0,Recette,Paiement client
2023-10-16 11:44:00,CB - Clara Lefèvre,65.0,Recette,Paiement client
2023-10-17 09:20:00,CB - Clara Laurent,65.0,Recette,Paiement client
2023-10-17 10:10:00,CB - Zoé Vincent,110.0,Recette,Paiement client
2023-10-17 10:45:00,CB - Chloé Garcia,75.0,Recette,Paiement client
2023-10-18 09:40:00,CB - Manon Fournier,110.0,Recette,Paiement client
2023-10-19 09:35:00,CB - Léa Vincent,100.0,Recette,Paiement client
2023-10-19 10:30:00,CB - Elise André,100.0,Recette,Paiement client
2023-10-19 12:15:00,CB - Océane Vincent,220.0,Recette,Paiement client
2023-10-21 10:15:00,CB - Elise Vincent,50.0,Recette,Paiement client
2023-10-23 09:00:00,Achats consommables,-41.78,Charge,Consommables
2023-10-23 09:35:00,CB - Léa Morel,100.0,Recette,Paiement client
2023-10-23 10:22:00,CB - Lucie Girard,90.0,Recette,Paiement client
2023-10-23 12:11:00,CB - Amina Bertrand,25.0,Recette,Paiement client
2023-10-24 09:35:00,CB - Chloé Fournier,100.0,Recette,Paiement client
2023-10-24 10:41:00,CB - Julie Leroy,130.0,Recette,Paiement client
2023-10-24 11:52:00,CB - Clara Legrand,150.0,Recette,Paiement client
2023-10-25 09:35:00,CB - Léa Fournier,100.0,Recette,Paiement client
2023-10-25 10:00:00,CB - Lina Vincent,25.0,Recette,Paiement client
2023-10-25 11:01:00,CB - Chloé Petit,130.0,Recette,Paiement client
2023-10-26 09:20:00,CB - Jade Thomas,65.0,Recette,Paiement client
2023-10-26 10:23:00,CB - Agathe David,130.0,Recette,Paiement client
2023-10-27 09:50:00,CB - Eva Durand,130.0,Recette,Paiement client
2023-10-28 10:50:00,CB - Sarah Vincent,130.0,Recette,Paiement client
2023-10-28 11:31:00,CB - Eva Fournier,90.0,Recette,Paiement client
2023-10-30 09:00:00,Achats consommables,-59.32,Charge,Consommables
2023-10-30 10:00:00,CB - Maya Simon,150.0,Recette,Paiement client
2023-10-30 11:10:00,CB - Zoé Dubois,150.0,Recette,Paiement client
2023-10-30 11:50:00,CB - Nina Thomas,90.0,Recette,Paiement client
2023-10-30 13:45:00,CB - Charlotte David,90.0,Recette,Paiement client
2023-10-30 14:31:00,CB - Jade Girard,90.0,Recette,Paiement client
2023-10-30 15:01:00,CB - Charlotte Robert,25.0,Recette,Paiement client
2023-10-31 10:56:00,CB - Maëlys Mercier,130.0,Recette,Paiement client
2023-11-01 09:00:00,Loyer cabinet,-1200.0,Charge,Loyer
2023-11-01 09:00:00,Frais compte pro,-15.0,Charge,Frais bancaires
2023-11-01 09:00:00,Abonnement Planity,-80.0,Charge,Logiciel / abonnement
2023-11-01 09:15:00,CB - Charlotte Simon,25.0,Recette,Paiement client
2023-11-01 11:02:00,CB - Alice Michel,220.0,Recette,Paiement client
2023-11-01 11:32:00,CB - Maya Lambert,25.0,Recette,Paiement client
2023-11-01 12:25:00,CB - Marine Bertrand,110.0,Recette,Paiement client
2023-11-01 13:40:00,CB - Manon Michel,75.0,Recette,Paiement client
2023-11-02 09:30:00,CB - Léa Thomas,90.0,Recette,Paiement client
2023-11-02 10:04:00,CB - Maëlys Michel,25.0,Recette,Paiement client
2023-11-02 10:57:00,CB - Jade Thomas,110.0,Recette,Paiement client
2023-11-02 11:48:00,CB - Hana Robert,110.0,Recette,Paiement client
2023-11-04 10:30:00,CB - Clara Petit,90.0,Recette,Paiement client
2023-11-05 09:00:00,Assurance professionnelle,-45.0,Charge,Assurance
2023-11-06 09:00:00,Achats consommables,-30.89,Charge,Consommables
2023-11-07 09:25:00,CB - Julie Garcia,75.0,Recette,Paiement client
2023-11-07 10:06:00,CB - Clara Bernard,90.0,Recette,Paiement client
2023-11-07 10:55:00,CB - Léa Dubois,90.0,Recette,Paiement client
2023-11-07 11:32:00,CB - Margaux Richard,75.0,Recette,Paiement client
2023-11-08 09:40:00,CB - Nina Mercier,110.0,Recette,Paiement client
2023-11-08 10:22:00,CB - Charlotte Robert,75.0,Recette,Paiement client
2023-11-09 09:20:00,CB - Clara Laurent,65.0,Recette,Paiement client
2023-11-10 09:00:00,Électricité,-120.0,Charge,Énergie
2023-11-10 09:15:00,CB - Louise Bertrand,25.0,Recette,Paiement client
2023-11-11 10:35:00,CB - Inès Mercier,100.0,Recette,Paiement client
2023-11-11 11:19:00,CB - Clara Fournier,90.0,Recette,Paiement client
2023-11-11 12:29:00,CB - Océane Thomas,150.0,Recette,Paiement client
2023-11-12 09:00:00,Hébergement site web,-12.0,Charge,Site web
2023-11-13 09:00:00,Achats consommables,-42.64,Charge,Consommables
2023-11-13 09:35:00,CB - Inès Petit,100.0,Recette,Paiement client
2023-11-13 10:42:00,CB - Anaïs Petit,120.0,Recette,Paiement client
2023-11-13 11:07:00,CB - Elise Thomas,25.0,Recette,Paiement client
2023-11-14 09:20:00,CB - Léa Lambert,65.0,Recette,Paiement client
2023-11-15 11:02:00,CB - Zoé Morel,150.0,Recette,Paiement client
2023-11-15 11:41:00,CB - Zoé Garcia,75.0,Recette,Paiement client
2023-11-16 11:04:00,CB - Clara Lefèvre,75.0,Recette,Paiement client
2023-11-16 11:37:00,CB - Clara Dupont,25.0,Recette,Paiement client
2023-11-16 14:45:00,CB - Nina Bernard,220.0,Recette,Paiement client
2023-11-17 09:45:00,CB - Chloé Petit,120.0,Recette,Paiement client
2023-11-17 10:29:00,CB - Manon Fournier,90.0,Recette,Paiement client
2023-11-18 10:35:00,CB - Elise André,100.0,Recette,Paiement client
2023-11-18 11:43:00,CB - Agathe David,140.0,Recette,Paiement client
2023-11-20 09:00:00,Achats consommables,-20.67,Charge,Consommables
2023-11-21 09:45:00,CB - Clara Legrand,120.0,Recette,Paiement client
2023-11-21 10:23:00,CB - Léa Morel,75.0,Recette,Paiement client
2023-11-21 11:16:00,CB - Léa Vincent,100.0,Recette,Paiement client
2023-11-21 11:46:00,CB - Amina Roux,65.0,Recette,Paiement client
2023-11-21 13:45:00,CB - Chloé Garcia,90.0,Recette,Paiement client
2023-11-22 10:37:00,CB - Julie Leroy,140.0,Recette,Paiement client
2023-11-23 09:50:00,CB - Maya Simon,130.0,Recette,Paiement client
2023-11-24 09:15:00,CB - Maëlys André,25.0,Recette,Paiement client
2023-11-27 09:00:00,Achats consommables,-49.55,Charge,Consommables
2023-11-27 09:50:00,CB - Zoé Dubois,130.0,Recette,Paiement client
2023-11-27 11:46:00,CB - Amina Bertrand,140.0,Recette,Paiement client
