date_heure,date_heure_fin,nom_client,client_id,zone,type_prestation,duree_prestation_min,montant_recu_eur,statut,temps_non_facture_min
2023-04-20 09:00:00,2023-04-20 09:15:00,Léa Lambert,1012,Lèvres,Consultation préalable,15,25,Réalisé,13
2023-04-25 09:00:00,2023-04-25 10:00:00,Amina Roux,1006,Aisselles,Séance électrolyse,60,150,Réalisé,11
2023-04-27 09:00:00,2023-04-27 09:15:00,Chloé Garcia,1008,Aisselles,Consultation préalable,15,25,Réalisé,15
2023-04-28 09:00:00,2023-04-28 09:45:00,Manon Michel,1004,Favoris,Séance électrolyse,45,0,No-show,12
2023-04-29 10:00:00,2023-04-29 10:55:00,Léa Thomas,1002,Menton,Séance électrolyse,55,140,Réalisé,5
2023-05-01 09:00:00,2023-05-01 10:00:00,Elise Vincent,1003,Nuque,Séance électrolyse,60,0,No-show,6
2023-05-02 09:00:00,2023-05-02 09:15:00,Léa Vincent,1019,Menton,Consultation préalable,15,0,No-show,11
2023-05-03 09:00:00,2023-05-03 10:15:00,Lucie Girard,1001,Ventre,Séance électrolyse,75,180,Réalisé,5
2023-05-05 09:00:00,2023-05-05 09:15:00,Léa Fournier,1016,Visage,Consultation préalable,15,25,Réalisé,8
2023-05-05 09:28:00,2023-05-05 10:43:00,Charlotte Robert,1000,Nuque,Séance électrolyse,75,180,Réalisé,12
2023-05-06 10:00:00,2023-05-06 10:50:00,Jade Thomas,1010,Favoris,Séance électrolyse,50,130,Réalisé,10
2023-05-08 09:00:00,2023-05-08 09:15:00,Eva Fournier,1015,Aisselles,Consultation préalable,15,25,Réalisé,11
2023-05-09 09:00:00,2023-05-09 09:55:00,Nina Thomas,1009,Menton,Séance électrolyse,55,140,Réalisé,7
2023-05-11 09:00:00,2023-05-11 09:50:00,Clara Bernard,1005,Menton,Séance électrolyse,50,130,Réalisé,10
2023-05-12 09:00:00,2023-05-12 09:15:00,Jade Girard,1014,Menton,Consultation préalable,15,25,Réalisé,9
2023-05-15 09:00:00,2023-05-15 09:15:00,Clara Petit,1013,Maillot,Consultation préalable,15,25,Réalisé,15
2023-05-18 09:00:00,2023-05-18 09:25:00,Julie Garcia,1011,Sourcils,Séance électrolyse,25,75,Réalisé,13
2023-05-18 09:43:00,2023-05-18 09:58:00,Léa Dubois,1018,Lèvres,Consultation préalable,15,25,Réalisé,12
2023-05-18 10:15:00,2023-05-18 11:05:00,Amina Roux,1006,Aisselles,Séance électrolyse,50,130,Réalisé,16
2023-05-19 09:00:00,2023-05-19 09:45:00,Emma Bernard,1007,Ventre,Séance électrolyse,45,120,Réalisé,11
2023-05-23 09:00:00,2023-05-23 09:35:00,Manon Michel,1004,Favoris,Séance électrolyse,35,100,Réalisé,5
2023-05-24 09:00:00,2023-05-24 09:55:00,Elise Vincent,1003,Nuque,Séance électrolyse,55,140,Réalisé,5
2023-05-24 10:05:00,2023-05-24 11:00:00,Léa Thomas,1002,Menton,Séance électrolyse,55,140,Réalisé,7
2023-05-25 09:00:00,2023-05-25 09:45:00,Léa Lambert,1012,Lèvres,Séance électrolyse,45,120,Réalisé,7
2023-05-26 09:00:00,2023-05-26 09:55:00,Lucie Girard,1001,Ventre,Séance électrolyse,55,140,Réalisé,12
2023-05-29 09:00:00,2023-05-29 09:40:00,Jade Thomas,1010,Favoris,Séance électrolyse,40,110,Réalisé,8
2023-05-30 09:00:00,2023-05-30 10:00:00,Charlotte Robert,1000,Nuque,Séance électrolyse,60,150,Réalisé,6
2023-05-30 10:11:00,2023-05-30 10:26:00,Clara Lefèvre,1017,Orteils,Consultation préalable,15,25,Réalisé,12
2023-06-01 09:00:00,2023-06-01 09:55:00,Nina Thomas,1009,Menton,Séance électrolyse,55,140,Réalisé,13
2023-06-01 10:13:00,2023-06-01 11:28:00,Chloé Garcia,1008,Aisselles,Séance électrolyse,75,180,Réalisé,5
2023-06-05 09:00:00,2023-06-05 09:40:00,Clara Bernard,1005,Menton,Séance électrolyse,40,110,Réalisé,10
2023-06-06 09:00:00,2023-06-06 10:00:00,Léa Vincent,1019,Menton,Séance électrolyse,60,0,Annulé,5
2023-06-08 09:00:00,2023-06-08 09:15:00,Eva Durand,1028,Seins,Consultation préalable,15,25,Réalisé,6
2023-06-09 09:00:00,2023-06-09 10:15:00,Léa Fournier,1016,Visage,Séance électrolyse,75,180,Réalisé,9
2023-06-09 10:29:00,2023-06-09 10:44:00,Sarah Vincent,1022,Lèvres,Consultation préalable,15,25,Réalisé,12
2023-06-10 10:00:00,2023-06-10 10:15:00,Julie Garcia,1011,Sourcils,Séance électrolyse,15,50,Réalisé,15
2023-06-12 09:00:00,2023-06-12 09:40:00,Emma Bernard,1007,Ventre,Séance électrolyse,40,110,Réalisé,9
2023-06-12 09:54:00,2023-06-12 10:34:00,Amina Roux,1006,Aisselles,Séance électrolyse,40,110,Réalisé,10
2023-06-12 10:49:00,2023-06-12 11:44:00,Eva Fournier,1015,Aisselles,Séance électrolyse,55,140,Réalisé,10
2023-06-16 09:00:00,2023-06-16 10:00:00,Jade Girard,1014,Menton,Séance électrolyse,60,150,Réalisé,5
2023-06-16 10:10:00,2023-06-16 10:25:00,Hana Robert,1020,Maillot,Consultation préalable,15,25,Réalisé,5
2023-06-17 10:00:00,2023-06-17 10:45:00,Léa Lambert,1012,Lèvres,Séance électrolyse,45,120,Réalisé,6
2023-06-19 09:00:00,2023-06-19 09:50:00,Elise Vincent,1003,Nuque,Séance électrolyse,50,130,Réalisé,5
2023-06-19 10:00:00,2023-06-19 11:15:00,Clara Petit,1013,Maillot,Séance électrolyse,75,180,Réalisé,16
2023-06-20 09:00:00,2023-06-20 10:00:00,Lucie Girard,1001,Ventre,Séance électrolyse,60,150,Réalisé,15
2023-06-20 10:20:00,2023-06-20 11:00:00,Manon Michel,1004,Favoris,Séance électrolyse,40,110,Réalisé,13
2023-06-21 09:00:00,2023-06-21 09:45:00,Léa Thomas,1002,Menton,Séance électrolyse,45,120,Réalisé,5
2023-06-22 09:00:00,2023-06-22 09:45:00,Léa Dubois,1018,Lèvres,Séance électrolyse,45,120,Réalisé,9
2023-06-23 09:00:00,2023-06-23 09:50:00,Jade Thomas,1010,Favoris,Séance électrolyse,50,130,Réalisé,5
2023-06-23 10:00:00,2023-06-23 10:15:00,Clara Fournier,1027,Visage,Consultation préalable,15,25,Réalisé,12
2023-06-24 10:00:00,2023-06-24 10:55:00,Chloé Garcia,1008,Aisselles,Séance électrolyse,55,140,Réalisé,5
2023-06-24 11:05:00,2023-06-24 11:20:00,Inès Petit,1026,Lèvres,Consultation préalable,15,25,Réalisé,11
2023-06-26 09:00:00,2023-06-26 09:45:00,Nina Thomas,1009,Menton,Séance électrolyse,45,120,Réalisé,5
2023-06-27 09:00:00,2023-06-27 09:15:00,Zoé Garcia,1021,Sourcils,Consultation préalable,15,0,Annulé,4
2023-06-27 09:24:00,2023-06-27 10:14:00,Charlotte Robert,1000,Nuque,Séance électrolyse,50,130,Réalisé,11
2023-06-28 09:00:00,2023-06-28 09:15:00,Zoé Vincent,1024,Seins,Consultation préalable,15,25,Réalisé,12
2023-06-29 09:00:00,2023-06-29 09:15:00,Manon Fournier,1023,Menton,Consultation préalable,15,25,Réalisé,17
2023-06-29 09:37:00,2023-06-29 10:32:00,Léa Vincent,1019,Menton,Séance électrolyse,55,0,Annulé,4
2023-06-30 09:00:00,2023-06-30 09:15:00,Elise André,1025,Ventre,Consultation préalable,15,25,Réalisé,7
2023-07-03 09:00:00,2023-07-03 10:00:00,Léa Fournier,1016,Visage,Séance électrolyse,60,150,Réalisé,5
2023-07-03 10:10:00,2023-07-03 10:50:00,Clara Bernard,1005,Menton,Séance électrolyse,40,110,Réalisé,15
2023-07-03 11:10:00,2023-07-03 11:25:00,Léa Morel,1032,Lèvres,Consultation préalable,15,25,Réalisé,18
2023-07-04 09:00:00,2023-07-04 09:35:00,Clara Lefèvre,1017,Orteils,Séance électrolyse,35,100,Réalisé,14
2023-07-05 09:00:00,2023-07-05 09:30:00,Julie Garcia,1011,Sourcils,Séance électrolyse,30,90,Réalisé,15
2023-07-05 09:50:00,2023-07-05 10:40:00,Eva Fournier,1015,Aisselles,Séance électrolyse,50,130,Réalisé,5
2023-07-06 09:00:00,2023-07-06 09:15:00,Julie Leroy,1030,Maillot,Consultation préalable,15,0,Annulé,6
2023-07-06 09:26:00,2023-07-06 09:41:00,Chloé Fournier,1031,Menton,Consultation préalable,15,25,Réalisé,10
2023-07-06 09:56:00,2023-07-06 10:31:00,Emma Bernard,1007,Ventre,Séance électrolyse,35,100,Réalisé,11
2023-07-10 09:00:00,2023-07-10 10:00:00,Jade Girard,1014,Menton,Séance électrolyse,60,150,Réalisé,16
2023-07-10 10:21:00,2023-07-10 10:36:00,Charlotte David,1036,Lèvres,Consultation préalable,15,25,Réalisé,12
2023-07-10 10:53:00,2023-07-10 11:28:00,Amina Roux,1006,Aisselles,Séance électrolyse,35,100,Réalisé,7
2023-07-12 09:00:00,2023-07-12 10:00:00,Clara Petit,1013,Maillot,Séance électrolyse,60,150,Réalisé,10
2023-07-12 10:15:00,2023-07-12 10:45:00,Léa Lambert,1012,Lèvres,Séance électrolyse,30,90,Réalisé,10
2023-07-12 11:00:00,2023-07-12 11:15:00,Emma Bertrand,1033,Maillot,Consultation préalable,15,25,Réalisé,16
2023-07-13 09:00:00,2023-07-13 09:55:00,Eva Durand,1028,Seins,Séance électrolyse,55,140,Réalisé,7
2023-07-14 09:00:00,2023-07-14 09:55:00,Sarah Vincent,1022,Lèvres,Séance électrolyse,55,140,Réalisé,5
2023-07-15 10:00:00,2023-07-15 10:40:00,Léa Dubois,1018,Lèvres,Séance électrolyse,40,0,No-show,8
2023-07-17 09:00:00,2023-07-17 09:40:00,Elise Vincent,1003,Nuque,Séance électrolyse,40,110,Réalisé,5
2023-07-18 09:00:00,2023-07-18 09:55:00,Lucie Girard,1001,Ventre,Séance électrolyse,55,140,Réalisé,9
2023-07-19 09:00:00,2023-07-19 10:00:00,Chloé Garcia,1008,Aisselles,Séance électrolyse,60,150,Réalisé,12
2023-07-20 09:00:00,2023-07-20 09:30:00,Manon Michel,1004,Favoris,Séance électrolyse,30,0,No-show,9
2023-07-20 09:44:00,2023-07-20 09:59:00,Nina Mercier,1035,Aisselles,Consultation préalable,15,25,Réalisé,6
2023-07-21 09:00:00,2023-07-21 09:30:00,Jade Thomas,1010,Favoris,Séance électrolyse,30,90,Réalisé,6
2023-07-21 09:41:00,2023-07-21 10:26:00,Léa Thomas,1002,Menton,Séance électrolyse,45,0,Annulé,4
2023-07-21 10:35:00,2023-07-21 11:50:00,Hana Robert,1020,Maillot,Séance électrolyse,75,0,Annulé,3
2023-07-24 09:00:00,2023-07-24 09:55:00,Léa Vincent,1019,Menton,Séance électrolyse,55,140,Réalisé,5
2023-07-24 10:05:00,2023-07-24 10:45:00,Nina Thomas,1009,Menton,Séance électrolyse,40,110,Réalisé,5
2023-07-25 09:00:00,2023-07-25 09:15:00,Anaïs Petit,1029,Nuque,Consultation préalable,15,25,Réalisé,12
2023-07-27 09:00:00,2023-07-27 09:45:00,Léa Fournier,1016,Visage,Séance électrolyse,45,120,Réalisé,5
2023-07-27 09:55:00,2023-07-27 10:35:00,Charlotte Robert,1000,Nuque,Séance électrolyse,40,0,Annulé,4
2023-07-27 10:44:00,2023-07-27 11:14:00,Clara Lefèvre,1017,Orteils,Séance électrolyse,30,90,Réalisé,8
2023-07-28 09:00:00,2023-07-28 09:15:00,Océane Vincent,1034,Dos,Consultation préalable,15,25,Réalisé,14
2023-07-28 09:34:00,2023-07-28 10:24:00,Clara Fournier,1027,Visage,Séance électrolyse,50,130,Réalisé,8
2023-07-29 10:00:00,2023-07-29 10:55:00,Inès Petit,1026,Lèvres,Séance électrolyse,55,0,Annulé,2
2023-07-31 09:00:00,2023-07-31 09:40:00,Eva Fournier,1015,Aisselles,Séance électrolyse,40,110,Réalisé,7
2023-07-31 09:52:00,2023-07-31 10:32:00,Clara Bernard,1005,Menton,Séance électrolyse,40,0,Annulé,4
2023-08-01 09:00:00,2023-08-01 09:25:00,Zoé Garcia,1021,Sourcils,Séance électrolyse,25,0,No-show,9
2023-08-02 09:00:00,2023-08-02 09:15:00,Clara Legrand,1037,Aisselles,Consultation préalable,15,25,Réalisé,6
2023-08-02 09:26:00,2023-08-02 10:16:00,Zoé Vincent,1024,Seins,Séance électrolyse,50,130,Réalisé,8
2023-08-02 10:29:00,2023-08-02 10:49:00,Julie Garcia,1011,Sourcils,Séance électrolyse,20,65,Réalisé,8
2023-08-03 09:00:00,2023-08-03 09:35:00,Emma Bernard,1007,Ventre,Séance électrolyse,35,100,Réalisé,5
2023-08-03 09:45:00,2023-08-03 10:35:00,Jade Girard,1014,Menton,Séance électrolyse,50,130,Réalisé,10
2023-08-03 10:50:00,2023-08-03 11:35:00,Manon Fournier,1023,Menton,Séance électrolyse,45,120,Réalisé,12
2023-08-04 09:00:00,2023-08-04 09:40:00,Elise André,1025,Ventre,Séance électrolyse,40,110,Réalisé,5
2023-08-05 10:00:00,2023-08-05 10:50:00,Eva Durand,1028,Seins,Séance électrolyse,50,0,No-show,11
2023-08-07 09:00:00,2023-08-07 09:55:00,Clara Petit,1013,Maillot,Séance électrolyse,55,0,Annulé,2
2023-08-07 10:02:00,2023-08-07 10:47:00,Sarah Vincent,1022,Lèvres,Séance électrolyse,45,120,Réalisé,6
2023-08-07 10:58:00,2023-08-07 11:43:00,Léa Morel,1032,Lèvres,Séance électrolyse,45,120,Réalisé,8
2023-08-07 11:56:00,2023-08-07 12:11:00,Zoé Dubois,1039,Maillot,Consultation préalable,15,25,Réalisé,11
2023-08-09 09:00:00,2023-08-09 09:15:00,Maëlys Mercier,1041,Visage,Consultation préalable,15,25,Réalisé,7
2023-08-09 09:27:00,2023-08-09 10:12:00,Amina Roux,1006,Aisselles,Séance électrolyse,45,120,Réalisé,15
2023-08-09 10:32:00,2023-08-09 11:12:00,Léa Lambert,1012,Lèvres,Séance électrolyse,40,0,No-show,8
2023-08-09 11:25:00,2023-08-09 11:55:00,Léa Dubois,1018,Lèvres,Séance électrolyse,30,90,Réalisé,10
2023-08-10 09:00:00,2023-08-10 10:15:00,Julie Leroy,1030,Maillot,Séance électrolyse,75,0,Annulé,7
2023-08-10 10:27:00,2023-08-10 10:42:00,Alice Michel,1038,Dos,Consultation préalable,15,25,Réalisé,12
2023-08-10 10:59:00,2023-08-10 11:39:00,Chloé Fournier,1031,Menton,Séance électrolyse,40,110,Réalisé,11
2023-08-11 09:00:00,2023-08-11 09:15:00,Jade Thomas,1042,Menton,Consultation préalable,15,25,Réalisé,11
2023-08-14 09:00:00,2023-08-14 10:00:00,Hana Robert,1020,Maillot,Séance électrolyse,60,150,Réalisé,8
2023-08-14 10:13:00,2023-08-14 10:58:00,Charlotte David,1036,Lèvres,Séance électrolyse,45,120,Réalisé,5
2023-08-15 09:00:00,2023-08-15 09:45:00,Elise Vincent,1003,Nuque,Séance électrolyse,45,120,Réalisé,15
2023-08-16 09:00:00,2023-08-16 09:15:00,Margaux Richard,1040,Sourcils,Consultation préalable,15,25,Réalisé,15
2023-08-16 09:35:00,2023-08-16 10:35:00,Chloé Garcia,1008,Aisselles,Séance électrolyse,60,150,Réalisé,10
2023-08-16 10:50:00,2023-08-16 12:20:00,Emma Bertrand,1033,Maillot,Séance électrolyse,90,220,Réalisé,10
2023-08-17 09:00:00,2023-08-17 09:45:00,Lucie Girard,1001,Ventre,Séance électrolyse,45,0,Annulé,2
2023-08-21 09:00:00,2023-08-21 09:35:00,Jade Thomas,1010,Favoris,Séance électrolyse,35,0,Annulé,6
2023-08-21 09:46:00,2023-08-21 10:31:00,Léa Vincent,1019,Menton,Séance électrolyse,45,120,Réalisé,13
2023-08-21 10:49:00,2023-08-21 11:29:00,Clara Fournier,1027,Visage,Séance électrolyse,40,110,Réalisé,11
2023-08-21 13:15:00,2023-08-21 13:45:00,Manon Michel,1004,Favoris,Séance électrolyse,30,90,Réalisé,17
2023-08-21 14:07:00,2023-08-21 14:32:00,Clara Lefèvre,1017,Orteils,Séance électrolyse,25,75,Réalisé,8
2023-08-21 14:45:00,2023-08-21 15:30:00,Inès Petit,1026,Lèvres,Séance électrolyse,45,120,Réalisé,14
2023-08-22 09:00:00,2023-08-22 09:30:00,Léa Thomas,1002,Menton,Séance électrolyse,30,90,Réalisé,9
2023-08-23 09:00:00,2023-08-23 09:35:00,Nina Thomas,1009,Menton,Séance électrolyse,35,100,Réalisé,15
2023-08-24 09:00:00,2023-08-24 09:45:00,Léa Fournier,1016,Visage,Séance électrolyse,45,0,Annulé,5
2023-08-24 09:55:00,2023-08-24 10:55:00,Nina Mercier,1035,Aisselles,Séance électrolyse,60,150,Réalisé,12
2023-08-24 11:12:00,2023-08-24 11:42:00,Zoé Garcia,1021,Sourcils,Séance électrolyse,30,90,Réalisé,9
2023-08-25 09:00:00,2023-08-25 09:50:00,Zoé Vincent,1024,Seins,Séance électrolyse,50,130,Réalisé,8
2023-08-26 10:00:00,2023-08-26 10:50:00,Manon Fournier,1023,Menton,Séance électrolyse,50,0,Annulé,10
2023-08-28 09:00:00,2023-08-28 09:30:00,Eva Fournier,1015,Aisselles,Séance électrolyse,30,0,Annulé,4
2023-08-28 09:39:00,2023-08-28 10:14:00,Elise André,1025,Ventre,Séance électrolyse,35,100,Réalisé,8
2023-08-28 10:27:00,2023-08-28 11:02:00,Charlotte Robert,1000,Nuque,Séance électrolyse,35,100,Réalisé,10
2023-08-29 09:00:00,2023-08-29 10:00:00,Anaïs Petit,1029,Nuque,Séance électrolyse,60,150,Réalisé,13
2023-08-30 09:00:00,2023-08-30 09:45:00,Jade Girard,1014,Menton,Séance électrolyse,45,120,Réalisé,6
2023-08-30 09:56:00,2023-08-30 10:51:00,Eva Durand,1028,Seins,Séance électrolyse,55,0,Annulé,6
2023-08-30 11:02:00,2023-08-30 11:42:00,Léa Morel,1032,Lèvres,Séance électrolyse,40,110,Réalisé,15
2023-08-31 09:00:00,2023-08-31 09:45:00,Sarah Vincent,1022,Lèvres,Séance électrolyse,45,0,Annulé,6
2023-08-31 09:56:00,2023-08-31 10:31:00,Clara Bernard,1005,Menton,Séance électrolyse,35,100,Réalisé,10
2023-09-01 09:00:00,2023-09-01 09:25:00,Julie Garcia,1011,Sourcils,Séance électrolyse,25,75,Réalisé,15
2023-09-01 09:45:00,2023-09-01 11:45:00,Océane Vincent,1034,Dos,Séance électrolyse,120,280,Réalisé,5
2023-09-01 11:55:00,2023-09-01 12:10:00,Maya Simon,1045,Aisselles,Consultation préalable,15,25,Réalisé,11
2023-09-02 10:00:00,2023-09-02 10:30:00,Emma Bernard,1007,Ventre,Séance électrolyse,30,0,Annulé,2
2023-09-02 10:37:00,2023-09-02 11:52:00,Julie Leroy,1030,Maillot,Séance électrolyse,75,180,Réalisé,7
2023-09-02 12:04:00,2023-09-02 12:34:00,Chloé Fournier,1031,Menton,Séance électrolyse,30,90,Réalisé,5
2023-09-04 09:00:00,2023-09-04 09:45:00,Clara Petit,1013,Maillot,Séance électrolyse,45,120,Réalisé,10
2023-09-04 10:00:00,2023-09-04 10:15:00,Marine Bertrand,1044,Lèvres,Consultation préalable,15,25,Réalisé,7
2023-09-06 09:00:00,2023-09-06 09:30:00,Léa Dubois,1018,Lèvres,Séance électrolyse,30,90,Réalisé,9
2023-09-06 09:44:00,2023-09-06 10:24:00,Charlotte David,1036,Lèvres,Séance électrolyse,40,110,Réalisé,8
2023-09-06 10:37:00,2023-09-06 11:37:00,Clara Legrand,1037,Aisselles,Séance électrolyse,60,150,Réalisé,12
2023-09-07 09:00:00,2023-09-07 10:00:00,Hana Robert,1020,Maillot,Séance électrolyse,60,150,Réalisé,9
2023-09-08 09:00:00,2023-09-08 09:35:00,Léa Lambert,1012,Lèvres,Séance électrolyse,35,100,Réalisé,11
2023-09-08 09:51:00,2023-09-08 11:06:00,Emma Bertrand,1033,Maillot,Séance électrolyse,75,180,Réalisé,16
2023-09-11 09:00:00,2023-09-11 09:25:00,Amina Roux,1006,Aisselles,Séance électrolyse,25,0,Annulé,2
2023-09-11 09:32:00,2023-09-11 10:32:00,Zoé Dubois,1039,Maillot,Séance électrolyse,60,150,Réalisé,10
2023-09-12 09:00:00,2023-09-12 09:15:00,Clara Laurent,1043,Doigts,Consultation préalable,15,25,Réalisé,6
2023-09-13 09:00:00,2023-09-13 10:00:00,Maëlys Mercier,1041,Visage,Séance électrolyse,60,150,Réalisé,5
2023-09-14 09:00:00,2023-09-14 09:40:00,Clara Fournier,1027,Visage,Séance électrolyse,40,110,Réalisé,7
2023-09-14 09:52:00,2023-09-14 11:52:00,Alice Michel,1038,Dos,Séance électrolyse,120,280,Réalisé,11
2023-09-15 09:00:00,2023-09-15 09:35:00,Inès Petit,1026,Lèvres,Séance électrolyse,35,100,Réalisé,10
2023-09-15 09:50:00,2023-09-15 10:45:00,Jade Thomas,1042,Menton,Séance électrolyse,55,0,No-show,7
2023-09-15 10:57:00,2023-09-15 11:37:00,Chloé Garcia,1008,Aisselles,Séance électrolyse,40,110,Réalisé,6
2023-09-16 10:00:00,2023-09-16 10:55:00,Nina Mercier,1035,Aisselles,Séance électrolyse,55,140,Réalisé,13
2023-09-16 11:13:00,2023-09-16 11:48:00,Elise Vincent,1003,Nuque,Séance électrolyse,35,100,Réalisé,11
2023-09-18 09:00:00,2023-09-18 09:30:00,Clara Lefèvre,1017,Orteils,Séance électrolyse,30,90,Réalisé,5
2023-09-18 09:40:00,2023-09-18 10:10:00,Lucie Girard,1001,Ventre,Séance électrolyse,30,90,Réalisé,8
2023-09-18 10:23:00,2023-09-18 10:53:00,Zoé Garcia,1021,Sourcils,Séance électrolyse,30,90,Réalisé,6
2023-09-18 11:04:00,2023-09-18 11:54:00,Léa Vincent,1019,Menton,Séance électrolyse,50,130,Réalisé,9
2023-09-18 12:08:00,2023-09-18 12:23:00,Zoé Morel,1047,Maillot,Consultation préalable,15,25,Réalisé,7
2023-09-19 09:00:00,2023-09-19 09:35:00,Zoé Vincent,1024,Seins,Séance électrolyse,35,0,Annulé,6
2023-09-20 09:00:00,2023-09-20 09:15:00,Chloé Petit,1048,Orteils,Consultation préalable,15,25,Réalisé,10
2023-09-20 09:30:00,2023-09-20 10:05:00,Manon Fournier,1023,Menton,Séance électrolyse,35,100,Réalisé,13
2023-09-20 10:23:00,2023-09-20 10:53:00,Margaux Richard,1040,Sourcils,Séance électrolyse,30,90,Réalisé,11
2023-09-21 09:00:00,2023-09-21 09:15:00,Agathe David,1046,Ventre,Consultation préalable,15,25,Réalisé,13
2023-09-21 09:33:00,2023-09-21 10:03:00,Jade Thomas,1010,Favoris,Séance électrolyse,30,90,Réalisé,11
2023-09-21 10:19:00,2023-09-21 10:54:00,Elise André,1025,Ventre,Séance électrolyse,35,100,Réalisé,13
2023-09-21 11:12:00,2023-09-21 12:02:00,Anaïs Petit,1029,Nuque,Séance électrolyse,50,0,No-show,6
2023-09-23 10:00:00,2023-09-23 10:45:00,Léa Fournier,1016,Visage,Séance électrolyse,45,120,Réalisé,14
2023-09-25 09:00:00,2023-09-25 09:40:00,Léa Morel,1032,Lèvres,Séance électrolyse,40,110,Réalisé,9
2023-09-25 09:54:00,2023-09-25 11:54:00,Océane Vincent,1034,Dos,Séance électrolyse,120,280,Réalisé,18
2023-09-25 13:15:00,2023-09-25 13:50:00,Nina Thomas,1009,Menton,Séance électrolyse,35,100,Réalisé,6
2023-09-25 14:01:00,2023-09-25 14:21:00,Manon Michel,1004,Favoris,Séance électrolyse,20,65,Réalisé,9
2023-09-26 09:00:00,2023-09-26 09:35:00,Léa Thomas,1002,Menton,Séance électrolyse,35,100,Réalisé,13
2023-09-26 09:53:00,2023-09-26 10:23:00,Eva Fournier,1015,Aisselles,Séance électrolyse,30,90,Réalisé,14
2023-09-27 09:00:00,2023-09-27 10:15:00,Julie Leroy,1030,Maillot,Séance électrolyse,75,180,Réalisé,7
2023-09-27 10:27:00,2023-09-27 11:12:00,Chloé Fournier,1031,Menton,Séance électrolyse,45,120,Réalisé,7
2023-09-27 11:24:00,2023-09-27 12:09:00,Eva Durand,1028,Seins,Séance électrolyse,45,120,Réalisé,8
2023-09-28 09:00:00,2023-09-28 09:45:00,Jade Girard,1014,Menton,Séance électrolyse,45,0,No-show,6
2023-09-28 09:56:00,2023-09-28 10:41:00,Sarah Vincent,1022,Lèvres,Séance électrolyse,45,120,Réalisé,9
2023-09-29 09:00:00,2023-09-29 10:00:00,Clara Legrand,1037,Aisselles,Séance électrolyse,60,150,Réalisé,11
2023-10-02 09:00:00,2023-10-02 09:30:00,Charlotte David,1036,Lèvres,Séance électrolyse,30,90,Réalisé,10
2023-10-02 09:45:00,2023-10-02 10:25:00,Charlotte Robert,1000,Nuque,Séance électrolyse,40,110,Réalisé,6
2023-10-03 09:00:00,2023-10-03 09:50:00,Clara Petit,1013,Maillot,Séance électrolyse,50,130,Réalisé,6
2023-10-03 10:01:00,2023-10-03 11:16:00,Emma Bertrand,1033,Maillot,Séance électrolyse,75,180,Réalisé,9
2023-10-03 11:30:00,2023-10-03 12:00:00,Clara Bernard,1005,Menton,Séance électrolyse,30,90,Réalisé,19
2023-10-03 13:15:00,2023-10-03 13:35:00,Julie Garcia,1011,Sourcils,Séance électrolyse,20,65,Réalisé,12
2023-10-04 09:00:00,2023-10-04 10:00:00,Zoé Dubois,1039,Maillot,Séance électrolyse,60,150,Réalisé,9
2023-10-04 10:14:00,2023-10-04 10:59:00,Hana Robert,1020,Maillot,Séance électrolyse,45,120,Réalisé,8
2023-10-04 11:12:00,2023-10-04 11:37:00,Emma Bernard,1007,Ventre,Séance électrolyse,25,75,Réalisé,11
2023-10-06 09:00:00,2023-10-06 09:55:00,Maya Simon,1045,Aisselles,Séance électrolyse,55,140,Réalisé,7
